sku,model,department,colour,size,price,cost,launch_date,status
MRL-CB-TAN,Marlow Crossbody,Bags,Tan,,310,118,2024-03-04,active
MRL-CB-BLK,Marlow Crossbody,Bags,Black,,310,118,2024-03-04,active
MRL-CB-CRM,Marlow Crossbody,Bags,Cream,,296,112,2024-03-04,active
MRL-CB-OLV,Marlow Crossbody,Bags,Olive,,250,96,2024-03-04,clearance
SIE-TT-BLK,Sienna Tote,Bags,Black,,420,160,2024-03-04,active
SIE-TT-TAN,Sienna Tote,Bags,Tan,,420,160,2024-03-04,active
SIE-TT-NVY,Sienna Tote,Bags,Navy,,420,160,2024-03-04,active
PIP-CL-BLK,Piper Clutch,Bags,Black,,220,84,2024-03-04,active
PIP-CL-GLD,Piper Clutch,Bags,Gold,,240,92,2024-03-04,active
AST-BP-BLK,Astrid Backpack,Bags,Black,,380,145,2024-03-04,active
AST-BP-GRY,Astrid Backpack,Bags,Grey,,380,145,2024-03-04,active
JUN-BK-TAN,Juno Bucket Bag,Bags,Tan,,340,130,2024-03-04,active
JUN-BK-BLK,Juno Bucket Bag,Bags,Black,,340,130,2024-03-04,active
ELL-MN-BLK,Elle Mini Bag,Bags,Black,,260,99,2024-03-04,active
ELL-MN-PNK,Elle Mini Bag,Bags,Pink,,260,99,2024-03-04,active
NAD-LF-BLK-35,Nadia Loafer,Footwear,Black,35,290,110,2024-03-04,active
NAD-LF-BLK-36,Nadia Loafer,Footwear,Black,36,290,110,2024-03-04,active
NAD-LF-BLK-37,Nadia Loafer,Footwear,Black,37,290,110,2024-03-04,active
NAD-LF-BLK-38,Nadia Loafer,Footwear,Black,38,290,110,2024-03-04,active
NAD-LF-BLK-39,Nadia Loafer,Footwear,Black,39,290,110,2024-03-04,active
NAD-LF-BLK-40,Nadia Loafer,Footwear,Black,40,290,110,2024-03-04,active
NAD-LF-TAN-35,Nadia Loafer,Footwear,Tan,35,290,110,2024-03-04,active
NAD-LF-TAN-36,Nadia Loafer,Footwear,Tan,36,290,110,2024-03-04,active
NAD-LF-TAN-37,Nadia Loafer,Footwear,Tan,37,290,110,2024-03-04,active
NAD-LF-TAN-38,Nadia Loafer,Footwear,Tan,38,290,110,2024-03-04,active
NAD-LF-TAN-39,Nadia Loafer,Footwear,Tan,39,290,110,2024-03-04,active
NAD-LF-TAN-40,Nadia Loafer,Footwear,Tan,40,290,110,2024-03-04,active
VER-HL-BLK-35,Vera Heel,Footwear,Black,35,330,126,2024-03-04,active
VER-HL-BLK-36,Vera Heel,Footwear,Black,36,330,126,2024-03-04,active
VER-HL-BLK-37,Vera Heel,Footwear,Black,37,330,126,2024-03-04,active
